rank 6, epoch 1, step 300 / 1362, train loss 74.04, time 3m 4s
rank 70, epoch 1, step 300 / 1362, train loss 91.18, time 3m 4s
rank 56, epoch 1, step 500 / 1362, train loss 53.47, time 3m 5s
rank 3, epoch 1, step 300 / 1362, train loss 82.16, time 3m 4s
rank 76, epoch 1, step 300 / 1362, train loss 68.51, time 3m 4s
rank 2, epoch 1, step 300 / 1362, train loss 41.83, time 3m 5s
rank 15, epoch 1, step 300 / 1362, train loss 91.88, time 3m 5s
rank 68, epoch 1, step 300 / 1362, train loss 74.83, time 3m 6s
rank 17, epoch 1, step 300 / 1362, train loss 55.87, time 3m 7s
rank 45, epoch 1, step 500 / 1362, train loss 69.32, time 3m 8s
rank 73, epoch 1, step 500 / 1362, train loss 68.66, time 3m 9s
rank 59, epoch 1, step 500 / 1362, train loss 77.05, time 3m 8s
rank 63, epoch 1, step 500 / 1362, train loss 59.42, time 3m 8s
rank 84, epoch 1, step 500 / 1362, train loss 41.47, time 3m 8s
rank 65, epoch 1, step 500 / 1362, train loss 41.45, time 3m 9s
rank 85, epoch 1, step 500 / 1362, train loss 64.24, time 3m 9s
rank 82, epoch 1, step 500 / 1362, train loss 54.79, time 3m 9s
rank 87, epoch 1, step 500 / 1362, train loss 64.50, time 3m 10s
rank 53, epoch 1, step 500 / 1362, train loss 61.80, time 3m 12s
rank 89, epoch 1, step 500 / 1362, train loss 54.41, time 3m 11s
rank 7, epoch 1, step 500 / 1362, train loss 59.45, time 3m 12s
rank 27, epoch 1, step 500 / 1362, train loss 68.46, time 3m 11s
rank 41, epoch 1, step 500 / 1362, train loss 47.02, time 3m 11s
rank 26, epoch 1, step 500 / 1362, train loss 49.86, time 3m 12s
rank 49, epoch 1, step 500 / 1362, train loss 80.30, time 3m 13s
rank 5, epoch 1, step 500 / 1362, train loss 91.38, time 3m 12s
rank 22, epoch 1, step 500 / 1362, train loss 65.60, time 3m 12s
rank 11, epoch 1, step 500 / 1362, train loss 54.12, time 3m 13s
rank 80, epoch 1, step 500 / 1362, train loss 43.44, time 3m 13s
rank 28, epoch 1, step 500 / 1362, train loss 63.24, time 3m 12s
rank 69, epoch 1, step 500 / 1362, train loss 55.27, time 3m 12s
rank 90, epoch 1, step 500 / 1362, train loss 60.21, time 3m 13s
rank 71, epoch 1, step 500 / 1362, train loss 44.20, time 3m 14s
rank 35, epoch 1, step 500 / 1362, train loss 50.70, time 3m 14s
rank 34, epoch 1, step 500 / 1362, train loss 76.66, time 3m 14s
rank 39, epoch 1, step 500 / 1362, train loss 61.96, time 3m 14s
rank 58, epoch 1, step 500 / 1362, train loss 64.49, time 3m 15s
rank 77, epoch 1, step 500 / 1362, train loss 69.17, time 3m 14s
rank 38, epoch 1, step 500 / 1362, train loss 65.37, time 3m 15s
rank 18, epoch 1, step 500 / 1362, train loss 63.40, time 3m 15s
rank 13, epoch 1, step 500 / 1362, train loss 52.29, time 3m 15s
rank 52, epoch 1, step 500 / 1362, train loss 59.25, time 3m 15s
rank 33, epoch 1, step 500 / 1362, train loss 50.89, time 3m 16s
rank 74, epoch 1, step 500 / 1362, train loss 65.85, time 3m 16s
rank 81, epoch 1, step 500 / 1362, train loss 67.01, time 3m 16s
rank 44, epoch 1, step 500 / 1362, train loss 79.51, time 3m 16s
rank 46, epoch 1, step 500 / 1362, train loss 57.67, time 3m 16s
rank 57, epoch 1, step 500 / 1362, train loss 61.75, time 3m 17s
rank 61, epoch 1, step 500 / 1362, train loss 67.94, time 3m 18s
rank 21, epoch 1, step 500 / 1362, train loss 57.87, time 3m 18s
rank 50, epoch 1, step 500 / 1362, train loss 72.31, time 3m 19s
rank 32, epoch 1, step 300 / 1362, train loss 71.22, time 3m 23s
rank 88, epoch 1, step 400 / 1362, train loss 71.60, time 3m 22s
rank 19, epoch 1, step 500 / 1362, train loss 51.42, time 3m 24s
rank 36, epoch 1, step 300 / 1362, train loss 83.09, time 3m 24s
rank 8, epoch 1, step 400 / 1362, train loss 74.95, time 3m 32s
rank 23, epoch 1, step 500 / 1362, train loss 77.26, time 3m 34s
rank 55, epoch 1, step 500 / 1362, train loss 55.24, time 3m 36s
rank 56, epoch 1, step 600 / 1362, train loss 51.52, time 3m 43s
rank 63, epoch 1, step 600 / 1362, train loss 44.89, time 3m 44s
rank 45, epoch 1, step 600 / 1362, train loss 72.85, time 3m 44s
rank 84, epoch 1, step 600 / 1362, train loss 76.24, time 3m 45s
