rank 60, epoch 1, step 4000 / 14900, train loss 88.49, time 39m 35s
rank 14, epoch 1, step 4000 / 14900, train loss 111.65, time 39m 36s
rank 33, epoch 1, step 4000 / 14900, train loss 124.31, time 39m 37s
rank 51, epoch 1, step 4000 / 14900, train loss 121.84, time 39m 41s
rank 15, epoch 1, step 4000 / 14900, train loss 136.72, time 39m 41s
rank 84, epoch 1, step 4000 / 14900, train loss 85.80, time 39m 43s
rank 55, epoch 1, step 4000 / 14900, train loss 156.94, time 39m 44s
rank 66, epoch 1, step 4000 / 14900, train loss 70.06, time 39m 46s
rank 94, epoch 1, step 4000 / 14900, train loss 73.80, time 39m 42s
rank 34, epoch 1, step 4000 / 14900, train loss 112.44, time 39m 45s
rank 11, epoch 1, step 4000 / 14900, train loss 59.97, time 39m 43s
rank 53, epoch 1, step 4000 / 14900, train loss 117.96, time 39m 44s
rank 90, epoch 1, step 4000 / 14900, train loss 48.93, time 39m 50s
rank 57, epoch 1, step 4000 / 14900, train loss 68.07, time 39m 52s
rank 68, epoch 1, step 4000 / 14900, train loss 544.34, time 40m 0s
rank 76, epoch 1, step 4000 / 14900, train loss 63.98, time 39m 60s
rank 21, epoch 1, step 4000 / 14900, train loss 72.44, time 40m 8s
rank 31, epoch 1, step 4000 / 14900, train loss 75.01, time 40m 8s
rank 38, epoch 1, step 4000 / 14900, train loss 187.55, time 40m 9s
rank 50, epoch 1, step 4000 / 14900, train loss 49.75, time 40m 16s
rank 0, epoch 1, step 4000 / 14900, train loss 45.67, time 40m 14s
rank 5, epoch 1, step 4000 / 14900, train loss 203.00, time 40m 18s
rank 47, epoch 1, step 4000 / 14900, train loss 85.01, time 40m 19s
rank 22, epoch 1, step 4000 / 14900, train loss 107.37, time 40m 22s
rank 70, epoch 1, step 4000 / 14900, train loss 88.73, time 40m 24s
rank 12, epoch 1, step 4000 / 14900, train loss 49.69, time 40m 27s
rank 35, epoch 1, step 4000 / 14900, train loss 54.59, time 40m 28s
rank 93, epoch 1, step 4000 / 14900, train loss 53.83, time 40m 38s
rank 79, epoch 1, step 4000 / 14900, train loss 59.74, time 40m 45s
rank 59, epoch 1, step 4000 / 14900, train loss 102.60, time 40m 47s
rank 48, epoch 1, step 4000 / 14900, train loss 94.22, time 40m 54s
rank 4, epoch 1, step 4000 / 14900, train loss 391.97, time 41m 2s
rank 64, epoch 1, step 4000 / 14900, train loss 118.96, time 42m 4s
rank 67, epoch 1, step 3000 / 14900, train loss 91.43, time 44m 58s
rank 78, epoch 1, step 3000 / 14900, train loss 109.33, time 45m 2s
rank 74, epoch 1, step 3000 / 14900, train loss 108.55, time 45m 4s
rank 86, epoch 1, step 3000 / 14900, train loss 86.03, time 45m 7s
rank 73, epoch 1, step 3000 / 14900, train loss 58.32, time 45m 14s
rank 54, epoch 1, step 3000 / 14900, train loss 68.16, time 45m 18s
rank 81, epoch 1, step 3000 / 14900, train loss 70.35, time 45m 17s
rank 41, epoch 1, step 3000 / 14900, train loss 58.63, time 45m 25s
rank 77, epoch 1, step 3000 / 14900, train loss 52.77, time 45m 40s
rank 28, epoch 1, step 3000 / 14900, train loss 97.46, time 45m 49s
rank 71, epoch 1, step 3000 / 14900, train loss 122.53, time 46m 7s
rank 37, epoch 1, step 3000 / 14900, train loss 97.53, time 46m 20s
rank 24, epoch 1, step 3000 / 14900, train loss 64.15, time 46m 23s
rank 44, epoch 1, step 3000 / 14900, train loss 109.67, time 46m 35s
rank 45, epoch 1, step 3000 / 14900, train loss 154.03, time 46m 39s
rank 63, epoch 1, step 3000 / 14900, train loss 122.96, time 46m 44s
rank 19, epoch 1, step 3000 / 14900, train loss 107.78, time 46m 43s
rank 91, epoch 1, step 3000 / 14900, train loss 72.59, time 46m 45s
rank 10, epoch 1, step 3000 / 14900, train loss 65.77, time 46m 45s
rank 17, epoch 1, step 3000 / 14900, train loss 71.96, time 46m 44s
rank 58, epoch 1, step 3000 / 14900, train loss 530.84, time 46m 55s
rank 40, epoch 1, step 3000 / 14900, train loss 82.53, time 46m 56s
rank 88, epoch 1, step 3000 / 14900, train loss 91.89, time 47m 2s
rank 25, epoch 1, step 3000 / 14900, train loss 135.01, time 47m 0s
rank 20, epoch 1, step 3000 / 14900, train loss 56.00, time 47m 2s
rank 23, epoch 1, step 3000 / 14900, train loss 53.25, time 47m 2s
rank 1, epoch 1, step 3000 / 14900, train loss 86.91, time 47m 7s
rank 32, epoch 1, step 3000 / 14900, train loss 124.80, time 47m 17s
rank 52, epoch 1, step 3000 / 14900, train loss 123.04, time 47m 14s
rank 8, epoch 1, step 3000 / 14900, train loss 676.24, time 47m 14s
rank 26, epoch 1, step 3000 / 14900, train loss 53.37, time 47m 14s
rank 18, epoch 1, step 3000 / 14900, train loss 86.05, time 47m 32s
rank 82, epoch 1, step 3000 / 14900, train loss 65.74, time 47m 31s
rank 13, epoch 1, step 3000 / 14900, train loss 106.89, time 47m 35s
rank 27, epoch 1, step 3000 / 14900, train loss 63.83, time 47m 41s
rank 61, epoch 1, step 3000 / 14900, train loss 236.09, time 47m 42s
rank 87, epoch 1, step 3000 / 14900, train loss 130.18, time 47m 47s
rank 36, epoch 1, step 3000 / 14900, train loss 104.04, time 47m 43s
rank 39, epoch 1, step 3000 / 14900, train loss 163.23, time 47m 45s
rank 30, epoch 1, step 5000 / 14900, train loss 79.05, time 47m 51s
rank 29, epoch 1, step 3000 / 14900, train loss 163.09, time 47m 50s
rank 85, epoch 1, step 5000 / 14900, train loss 52.63, time 47m 52s
rank 80, epoch 1, step 3000 / 14900, train loss 77.54, time 47m 53s
rank 42, epoch 1, step 3000 / 14900, train loss 746.26, time 48m 4s
rank 95, epoch 1, step 5000 / 14900, train loss 57.70, time 48m 18s
rank 46, epoch 1, step 5000 / 14900, train loss 99.82, time 48m 47s
rank 56, epoch 1, step 5000 / 14900, train loss 125.47, time 48m 56s
rank 69, epoch 1, step 5000 / 14900, train loss 40.89, time 49m 13s
rank 92, epoch 1, step 5000 / 14900, train loss 114.68, time 49m 15s
rank 9, epoch 1, step 5000 / 14900, train loss 170.27, time 49m 21s
rank 75, epoch 1, step 5000 / 14900, train loss 58.24, time 49m 22s
rank 6, epoch 1, step 5000 / 14900, train loss 83.22, time 49m 23s
rank 2, epoch 1, step 5000 / 14900, train loss 82.57, time 49m 23s
rank 14, epoch 1, step 5000 / 14900, train loss 70.37, time 49m 28s
rank 49, epoch 1, step 5000 / 14900, train loss 95.86, time 49m 29s
rank 60, epoch 1, step 5000 / 14900, train loss 98.00, time 49m 29s
rank 33, epoch 1, step 5000 / 14900, train loss 76.69, time 49m 30s
rank 62, epoch 1, step 5000 / 14900, train loss 61.91, time 49m 31s
rank 16, epoch 1, step 5000 / 14900, train loss 93.53, time 49m 32s
rank 11, epoch 1, step 5000 / 14900, train loss 67.06, time 49m 29s
rank 51, epoch 1, step 5000 / 14900, train loss 63.71, time 49m 34s
rank 66, epoch 1, step 5000 / 14900, train loss 95.23, time 49m 34s
rank 55, epoch 1, step 5000 / 14900, train loss 112.60, time 49m 36s
rank 15, epoch 1, step 5000 / 14900, train loss 78.82, time 49m 37s
rank 53, epoch 1, step 5000 / 14900, train loss 341.85, time 49m 36s
rank 43, epoch 1, step 5000 / 14900, train loss 84.49, time 49m 45s
rank 90, epoch 1, step 5000 / 14900, train loss 102.32, time 49m 46s
rank 84, epoch 1, step 5000 / 14900, train loss 53.16, time 49m 46s
rank 34, epoch 1, step 5000 / 14900, train loss 134.27, time 49m 46s
rank 57, epoch 1, step 5000 / 14900, train loss 73.50, time 49m 51s
rank 94, epoch 1, step 5000 / 14900, train loss 81.98, time 49m 49s
rank 68, epoch 1, step 5000 / 14900, train loss 127.65, time 50m 0s
rank 38, epoch 1, step 5000 / 14900, train loss 102.02, time 50m 4s
rank 76, epoch 1, step 5000 / 14900, train loss 67.64, time 50m 1s
rank 31, epoch 1, step 5000 / 14900, train loss 53.99, time 50m 4s
rank 50, epoch 1, step 5000 / 14900, train loss 71.76, time 50m 15s
rank 21, epoch 1, step 5000 / 14900, train loss 109.29, time 50m 16s
rank 47, epoch 1, step 5000 / 14900, train loss 180.95, time 50m 22s
rank 5, epoch 1, step 5000 / 14900, train loss 347.51, time 50m 22s
